universe,symbol,mode,trade_date,entry_date,buy,sl,tp,risk_R,rr,time_stop_bars,signal_date,signal_age_days,signal_close,max_allowed_open,invalid_reason
sp500,AAPL,ACTIVE,2026-01-09,2026-01-09,259.075,250.57199999999997,280.3325,8.503000000000004,2.499999999999995,30,,,,,
sp500,APO,ACTIVE,2026-01-09,2026-01-09,147.06,139.97136,164.78159999999997,7.088639999999993,2.499999999999996,30,,,,,
sp500,APP,ACTIVE,2026-01-09,2026-01-09,616.22,550.8516400000001,779.6409,65.36836,2.5000000000000018,30,,,,,
sp500,AXP,ACTIVE,2026-01-09,2026-01-09,383.435,369.61368,417.9883,13.821320000000004,2.499999999999996,30,,,,,
sp500,BK,ACTIVE,2026-01-09,2026-01-09,119.855,116.10833,129.221675,3.7466700000000017,2.4999999999999942,30,,,,,
sp500,BMY,ACTIVE,2026-01-09,2026-01-09,55.75,53.49704,61.3824,2.252959999999999,2.499999999999997,30,,,,,
sp500,BRK.B,ACTIVE,2026-01-09,2026-01-09,499.53,487.43442999999996,529.768925,12.09557000000001,2.499999999999998,30,,,,,
sp500,CAH,ACTIVE,2026-01-09,2026-01-09,204.34,197.69211,220.959725,6.6478899999999985,2.500000000000002,30,,,,,
sp500,CB,ACTIVE,2026-01-09,2026-01-09,311.44,302.50236,333.78409999999997,8.937639999999993,2.5,30,,,,,
sp500,CINF,ACTIVE,2026-01-09,2026-01-09,165.19,159.87108,178.4873,5.31892,2.5000000000000053,30,,,,,
sp500,CSCO,ACTIVE,2026-01-09,2026-01-09,73.45,71.01203,79.544925,2.4379700000000044,2.4999999999999942,30,,,,,
sp500,EA,ACTIVE,2026-01-09,2026-01-09,204.25,203.19351,206.89122500000002,1.0564900000000024,2.500000000000027,30,,,,,
sp500,EW,ACTIVE,2026-01-09,2026-01-09,85.275,82.20761,92.943475,3.0673899999999974,2.499999999999998,30,,,,,
sp500,GEV,ACTIVE,2026-01-09,2026-01-09,626.26,572.03603,761.819925,54.22397000000002,2.5,30,,,,,
sp500,HCA,ACTIVE,2026-01-09,2026-01-09,478.095,456.89768000000004,531.0883000000001,21.197320000000012,2.5000000000000053,30,,,,,
sp500,HIG,ACTIVE,2026-01-09,2026-01-09,137.88,133.65046,148.45385,4.22954,2.5000000000000067,30,,,,,
sp500,HOLX,ACTIVE,2026-01-09,2026-01-09,74.8,74.35749999999999,75.90625,0.44250000000000256,2.499999999999952,30,,,,,
sp500,IQV,ACTIVE,2026-01-09,2026-01-09,244.11,234.871,267.2075,9.238999999999994,2.4999999999999956,30,,,,,
sp500,JNJ,ACTIVE,2026-01-09,2026-01-09,206.0,199.27151,222.821225,6.728489999999996,2.500000000000002,30,,,,,
sp500,L,ACTIVE,2026-01-09,2026-01-09,105.34,102.43001000000001,112.614975,2.909989999999999,2.500000000000005,30,,,,,
sp500,MCK,ACTIVE,2026-01-09,2026-01-09,817.015,788.6789799999999,887.8550500000001,28.33602000000003,2.499999999999998,30,,,,,
sp500,MDT,ACTIVE,2026-01-09,2026-01-09,98.98,96.05720000000001,106.287,2.9227999999999996,2.500000000000005,30,,,,,
sp500,MPWR,ACTIVE,2026-01-09,2026-01-09,965.0,899.5155199999999,1128.7112,65.48448000000002,2.4999999999999964,30,,,,,
sp500,NDAQ,ACTIVE,2026-01-09,2026-01-09,99.64,96.437,107.64750000000001,3.2030000000000003,2.5,30,,,,,
sp500,NEE,ACTIVE,2026-01-09,2026-01-09,80.2,77.56495000000001,86.78762499999999,2.6350499999999983,2.5000000000000027,30,,,,,
sp500,NUE,ACTIVE,2026-01-09,2026-01-09,166.785,158.39122,187.76944999999998,8.393779999999996,2.5,30,,,,,
sp500,NVDA,ACTIVE,2026-01-09,2026-01-09,185.08,174.82812,210.7097,10.25188,2.4999999999999987,30,,,,,
sp500,PCG,ACTIVE,2026-01-09,2026-01-09,15.78,15.10921,17.456975,0.6707899999999999,2.5,30,,,,,
sp500,REGN,ACTIVE,2026-01-09,2026-01-09,802.97,767.82692,890.8277,35.14308,2.499999999999997,30,,,,,
sp500,SCHW,ACTIVE,2026-01-09,2026-01-09,101.405,97.90675999999999,110.15060000000001,3.4982400000000027,2.499999999999996,30,,,,,
sp500,SPG,ACTIVE,2026-01-09,2026-01-09,184.97,179.91562199999998,197.60594500000002,5.0543780000000025,2.4999999999999973,30,,,,,
sp500,SRE,ACTIVE,2026-01-09,2026-01-09,88.605,85.46801,96.447475,3.1369899999999973,2.5,30,,,,,
sp500,STE,ACTIVE,2026-01-09,2026-01-09,260.935,251.46101000000002,284.61997499999995,9.473989999999992,2.4999999999999987,30,,,,,
sp500,STLD,ACTIVE,2026-01-09,2026-01-09,170.34,161.54023,192.339425,8.799769999999999,2.5000000000000018,30,,,,,
sp500,TKO,ACTIVE,2026-01-09,2026-01-09,202.8,193.66732000000002,225.6317,9.132679999999993,2.5,30,,,,,
sp500,TRGP,ACTIVE,2026-01-09,2026-01-09,179.01,169.9675,201.61624999999998,9.0425,2.5000000000000018,30,,,,,
sp500,TRV,ACTIVE,2026-01-09,2026-01-09,285.105,276.78136,305.9141,8.323639999999994,2.4999999999999964,30,,,,,
sp500,TSLA,ACTIVE,2026-01-09,2026-01-09,435.945,401.75257999999997,521.42605,34.192420000000006,2.499999999999999,30,,,,,
sp500,TTWO,ACTIVE,2026-01-09,2026-01-09,252.71,243.03288,276.9028,9.677120000000006,2.5,30,,,,,
sp500,UNP,ACTIVE,2026-01-09,2026-01-09,230.57,223.04331,249.386725,7.526690000000011,2.5000000000000018,30,,,,,
sp500,VTR,ACTIVE,2026-01-09,2026-01-09,75.25,72.58731,81.906725,2.662689999999995,2.5,30,,,,,
sp500,WAT,ACTIVE,2026-01-09,2026-01-09,398.025,381.532,439.2575,16.493000000000006,2.5000000000000018,30,,,,,
sp500,WELL,ACTIVE,2026-01-09,2026-01-09,186.54,179.726734,203.573165,6.813265999999996,2.5,30,,,,,
sp500,WST,ACTIVE,2026-01-09,2026-01-09,276.6,262.96199,310.69502500000004,13.638010000000003,2.5,30,,,,,
